seed,mode,provider,model,mean_accuracy,final_accuracy,oscillations,regressions,rejections,recoveries
0,baseline,openai,gpt-4o-mini,0.9962,1.0,1,0,0,0
1,baseline,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
2,baseline,openai,gpt-4o-mini,0.9923,1.0,1,1,0,0
3,baseline,openai,gpt-4o-mini,0.9692,1.0,4,0,0,0
4,baseline,openai,gpt-4o-mini,0.9923,1.0,0,0,0,0
5,baseline,openai,gpt-4o-mini,0.9846,1.0,3,0,0,0
6,baseline,openai,gpt-4o-mini,0.9654,0.9231,3,0,0,0
7,baseline,openai,gpt-4o-mini,0.9846,1.0,1,1,0,0
8,baseline,openai,gpt-4o-mini,0.9846,1.0,0,0,0,0
9,baseline,openai,gpt-4o-mini,0.9692,1.0,5,2,0,0
10,baseline,openai,gpt-4o-mini,0.9923,1.0,1,1,0,0
11,baseline,openai,gpt-4o-mini,0.9885,1.0,2,0,0,0
12,baseline,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
13,baseline,openai,gpt-4o-mini,0.9923,1.0,1,1,0,0
14,baseline,openai,gpt-4o-mini,0.9808,1.0,2,1,0,0
15,baseline,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
16,baseline,openai,gpt-4o-mini,0.9769,1.0,3,0,0,0
17,baseline,openai,gpt-4o-mini,0.9885,1.0,1,0,0,0
18,baseline,openai,gpt-4o-mini,0.9846,0.9231,2,1,0,0
19,baseline,openai,gpt-4o-mini,0.9923,1.0,1,1,0,0
0,audit,openai,gpt-4o-mini,0.9962,1.0,1,0,0,0
1,audit,openai,gpt-4o-mini,0.9846,1.0,3,1,0,0
2,audit,openai,gpt-4o-mini,0.9731,1.0,3,3,1,0
3,audit,openai,gpt-4o-mini,0.9577,1.0,9,2,4,0
4,audit,openai,gpt-4o-mini,0.9731,1.0,2,1,2,0
5,audit,openai,gpt-4o-mini,0.9808,1.0,3,0,2,0
6,audit,openai,gpt-4o-mini,0.9615,1.0,5,2,4,0
7,audit,openai,gpt-4o-mini,0.9808,1.0,3,2,1,0
8,audit,openai,gpt-4o-mini,0.9654,1.0,2,1,3,0
9,audit,openai,gpt-4o-mini,0.9731,1.0,3,1,1,0
10,audit,openai,gpt-4o-mini,0.9808,1.0,5,2,2,0
11,audit,openai,gpt-4o-mini,0.9769,1.0,3,0,3,0
12,audit,openai,gpt-4o-mini,0.9692,0.9231,3,3,0,0
13,audit,openai,gpt-4o-mini,0.9846,0.9231,2,1,0,0
14,audit,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
15,audit,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
16,audit,openai,gpt-4o-mini,0.9808,1.0,3,1,1,0
17,audit,openai,gpt-4o-mini,0.9846,1.0,2,2,0,0
18,audit,openai,gpt-4o-mini,0.9808,0.9231,3,1,1,0
19,audit,openai,gpt-4o-mini,0.9731,1.0,3,2,3,0
0,audit_adaptive,openai,gpt-4o-mini,0.9962,1.0,1,0,0,0
1,audit_adaptive,openai,gpt-4o-mini,0.9923,1.0,1,1,0,0
2,audit_adaptive,openai,gpt-4o-mini,0.9731,1.0,5,2,0,0
3,audit_adaptive,openai,gpt-4o-mini,0.9769,0.9231,2,0,1,0
4,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,1,0,0,0
5,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,2,0,0,0
6,audit_adaptive,openai,gpt-4o-mini,0.9731,0.9231,3,0,2,0
7,audit_adaptive,openai,gpt-4o-mini,0.9923,1.0,2,0,0,0
8,audit_adaptive,openai,gpt-4o-mini,0.9923,1.0,0,0,0,0
9,audit_adaptive,openai,gpt-4o-mini,0.9731,1.0,3,1,0,0
10,audit_adaptive,openai,gpt-4o-mini,0.9962,1.0,1,0,0,0
11,audit_adaptive,openai,gpt-4o-mini,0.9923,1.0,0,0,0,0
12,audit_adaptive,openai,gpt-4o-mini,0.9808,1.0,3,2,0,0
13,audit_adaptive,openai,gpt-4o-mini,0.9885,0.9231,1,1,0,0
14,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
15,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
16,audit_adaptive,openai,gpt-4o-mini,0.9808,1.0,2,0,0,0
17,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,1,0,0,0
18,audit_adaptive,openai,gpt-4o-mini,0.9846,0.9231,2,1,0,0
19,audit_adaptive,openai,gpt-4o-mini,0.9885,1.0,2,1,0,0
